#    L    TT             EE             TE             PP             TP          
     2    0.10713E+04    0.35093E-01    0.28644E+01    0.10928E+07    0.29364E+05
     3    0.10136E+04    0.47709E-01    0.32843E+01    0.16799E+07    0.35022E+05
     4    0.95848E+03    0.44418E-01    0.31501E+01    0.22019E+07    0.37672E+05
     5    0.91681E+03    0.32250E-01    0.27439E+01    0.26628E+07    0.38709E+05
     6    0.88784E+03    0.19551E-01    0.22591E+01    0.30694E+07    0.38845E+05
     7    0.86898E+03    0.10795E-01    0.18061E+01    0.34299E+07    0.38467E+05
     8    0.85736E+03    0.63637E-02    0.14376E+01    0.37508E+07    0.37797E+05
     9    0.85143E+03    0.46348E-02    0.11715E+01    0.40378E+07    0.36968E+05
    10    0.84982E+03    0.39509E-02    0.10055E+01    0.42948E+07    0.36057E+05
    11    0.85136E+03    0.34560E-02    0.92417E+00    0.45265E+07    0.35130E+05
    12    0.85584E+03    0.29977E-02    0.90712E+00    0.47340E+07    0.34184E+05
    13    0.86203E+03    0.26915E-02    0.93226E+00    0.49222E+07    0.33270E+05
    14    0.86971E+03    0.26132E-02    0.98139E+00    0.50913E+07    0.32357E+05
    15    0.87857E+03    0.27341E-02    0.10418E+01    0.52448E+07    0.31468E+05
    16    0.88883E+03    0.29894E-02    0.11063E+01    0.53837E+07    0.30584E+05
    17    0.89989E+03    0.33467E-02    0.11707E+01    0.55084E+07    0.29721E+05
    18    0.91134E+03    0.38173E-02    0.12336E+01    0.56218E+07    0.28883E+05
    19    0.92431E+03    0.44362E-02    0.12977E+01    0.57243E+07    0.28082E+05
    20    0.93758E+03    0.52184E-02    0.13636E+01    0.58163E+07    0.27301E+05
    21    0.95131E+03    0.61663E-02    0.14318E+01    0.58991E+07    0.26550E+05
    22    0.96545E+03    0.72735E-02    0.15023E+01    0.59739E+07    0.25828E+05
    23    0.97997E+03    0.85357E-02    0.15740E+01    0.60410E+07    0.25138E+05
    24    0.99490E+03    0.99517E-02    0.16447E+01    0.61006E+07    0.24483E+05
    25    0.10102E+04    0.11525E-01    0.17131E+01    0.61539E+07    0.23853E+05
    26    0.10258E+04    0.13259E-01    0.17776E+01    0.62013E+07    0.23242E+05
    27    0.10417E+04    0.15160E-01    0.18358E+01    0.62428E+07    0.22651E+05
    28    0.10579E+04    0.17233E-01    0.18861E+01    0.62794E+07    0.22087E+05
    29    0.10744E+04    0.19486E-01    0.19277E+01    0.63110E+07    0.21547E+05
