#    L    TT             EE             TE             PP             TP          
     2    0.12053E+04    0.56426E-01    0.32990E+01    0.95907E+06    0.34993E+05
     3    0.11055E+04    0.88477E-01    0.41450E+01    0.14764E+07    0.41210E+05
     4    0.10188E+04    0.95068E-01    0.42370E+01    0.19362E+07    0.44026E+05
     5    0.95322E+03    0.80275E-01    0.38900E+01    0.23418E+07    0.45036E+05
     6    0.90578E+03    0.56285E-01    0.33463E+01    0.26992E+07    0.45030E+05
     7    0.87247E+03    0.34106E-01    0.27577E+01    0.30154E+07    0.44438E+05
     8    0.84948E+03    0.19191E-01    0.22112E+01    0.32963E+07    0.43508E+05
     9    0.83450E+03    0.11664E-01    0.17545E+01    0.35470E+07    0.42395E+05
    10    0.82565E+03    0.88847E-02    0.14110E+01    0.37709E+07    0.41192E+05
    11    0.82135E+03    0.79910E-02    0.11828E+01    0.39722E+07    0.39980E+05
    12    0.82100E+03    0.72944E-02    0.10581E+01    0.41519E+07    0.38766E+05
    13    0.82315E+03    0.63732E-02    0.10150E+01    0.43143E+07    0.37607E+05
    14    0.82741E+03    0.54828E-02    0.10285E+01    0.44597E+07    0.36475E+05
    15    0.83334E+03    0.49394E-02    0.10758E+01    0.45912E+07    0.35391E+05
    16    0.84100E+03    0.48223E-02    0.11383E+01    0.47096E+07    0.34331E+05
    17    0.84975E+03    0.49974E-02    0.12023E+01    0.48155E+07    0.33303E+05
    18    0.85918E+03    0.52850E-02    0.12592E+01    0.49112E+07    0.32309E+05
    19    0.87027E+03    0.56009E-02    0.13083E+01    0.49972E+07    0.31354E+05
    20    0.88184E+03    0.59668E-02    0.13492E+01    0.50739E+07    0.30419E+05
    21    0.89402E+03    0.64705E-02    0.13849E+01    0.51425E+07    0.29514E+05
    22    0.90673E+03    0.71923E-02    0.14186E+01    0.52039E+07    0.28642E+05
    23    0.91992E+03    0.81683E-02    0.14537E+01    0.52585E+07    0.27806E+05
    24    0.93360E+03    0.93893E-02    0.14919E+01    0.53065E+07    0.27011E+05
    25    0.94768E+03    0.10828E-01    0.15349E+01    0.53489E+07    0.26250E+05
    26    0.96213E+03    0.12456E-01    0.15823E+01    0.53860E+07    0.25518E+05
    27    0.97694E+03    0.14261E-01    0.16311E+01    0.54181E+07    0.24819E+05
    28    0.99201E+03    0.16239E-01    0.16775E+01    0.54457E+07    0.24153E+05
    29    0.10075E+04    0.18386E-01    0.17186E+01    0.54690E+07    0.23519E+05
    30    0.10233E+04    0.20698E-01    0.17527E+01    0.54885E+07    0.22903E+05
    31    0.10392E+04    0.23173E-01    0.17773E+01    0.55040E+07    0.22306E+05
    32    0.10555E+04    0.25815E-01    0.17904E+01    0.55165E+07    0.21734E+05
    33    0.10721E+04    0.28639E-01    0.17912E+01    0.55258E+07    0.21186E+05
    34    0.10890E+04    0.31658E-01    0.17820E+01    0.55322E+07    0.20655E+05
    35    0.11060E+04    0.34891E-01    0.17630E+01    0.55357E+07    0.20138E+05
    36    0.11233E+04    0.38352E-01    0.17341E+01    0.55369E+07    0.19638E+05
    37    0.11408E+04    0.42054E-01    0.16955E+01    0.55357E+07    0.19161E+05
    38    0.11586E+04    0.46007E-01    0.16487E+01    0.55323E+07    0.18702E+05
    39    0.11766E+04    0.50210E-01    0.15938E+01    0.55269E+07    0.18261E+05
    40    0.11947E+04    0.54663E-01    0.15300E+01    0.55196E+07    0.17836E+05
    41    0.12131E+04    0.59371E-01    0.14566E+01    0.55105E+07    0.17425E+05
    42    0.12317E+04    0.64333E-01    0.13738E+01    0.54999E+07    0.17029E+05
    43    0.12505E+04    0.69546E-01    0.12812E+01    0.54877E+07    0.16647E+05
    44    0.12694E+04    0.75007E-01    0.11765E+01    0.54740E+07    0.16279E+05
    45    0.12886E+04    0.80725E-01    0.10580E+01    0.54590E+07    0.15923E+05
    46    0.13081E+04    0.86713E-01    0.92675E+00    0.54428E+07    0.15578E+05
    47    0.13277E+04    0.92962E-01    0.78385E+00    0.54254E+07    0.15241E+05
    48    0.13474E+04    0.99480E-01    0.62810E+00    0.54071E+07    0.14916E+05
    49    0.13674E+04    0.10626E+00    0.45855E+00    0.53876E+07    0.14603E+05
    50    0.13877E+04    0.11333E+00    0.27636E+00    0.53673E+07    0.14299E+05
    51    0.14080E+04    0.12068E+00    0.82912E-01    0.53462E+07    0.14002E+05
    52    0.14286E+04    0.12829E+00   -0.12276E+00    0.53242E+07    0.13714E+05
    53    0.14495E+04    0.13620E+00   -0.34174E+00    0.53016E+07    0.13439E+05
    54    0.14705E+04    0.14438E+00   -0.57277E+00    0.52782E+07    0.13173E+05
    55    0.14916E+04    0.15283E+00   -0.81471E+00    0.52542E+07    0.12914E+05
    56    0.15130E+04    0.16156E+00   -0.10690E+01    0.52297E+07    0.12663E+05
    57    0.15346E+04    0.17055E+00   -0.13372E+01    0.52046E+07    0.12420E+05
    58    0.15565E+04    0.17983E+00   -0.16187E+01    0.51791E+07    0.12185E+05
    59    0.15785E+04    0.18938E+00   -0.19123E+01    0.51531E+07    0.11956E+05
    60    0.16006E+04    0.19916E+00   -0.22170E+01    0.51267E+07    0.11733E+05
    61    0.16233E+04    0.20919E+00   -0.25325E+01    0.50999E+07    0.11516E+05
    62    0.16459E+04    0.21947E+00   -0.28600E+01    0.50728E+07    0.11305E+05
    63    0.16687E+04    0.22999E+00   -0.32011E+01    0.50454E+07    0.11100E+05
    64    0.16919E+04    0.24080E+00   -0.35576E+01    0.50177E+07    0.10900E+05
    65    0.17151E+04    0.25190E+00   -0.39304E+01    0.49897E+07    0.10706E+05
    66    0.17385E+04    0.26325E+00   -0.43183E+01    0.49616E+07    0.10517E+05
    67    0.17621E+04    0.27485E+00   -0.47187E+01    0.49332E+07    0.10334E+05
    68    0.17861E+04    0.28671E+00   -0.51301E+01    0.49047E+07    0.10156E+05
    69    0.18103E+04    0.29875E+00   -0.55496E+01    0.48761E+07    0.99824E+04
    70    0.18349E+04    0.31100E+00   -0.59778E+01    0.48473E+07    0.98138E+04
    71    0.18596E+04    0.32343E+00   -0.64160E+01    0.48184E+07    0.96497E+04
    72    0.18846E+04    0.33602E+00   -0.68656E+01    0.47895E+07    0.94900E+04
    73    0.19097E+04    0.34875E+00   -0.73274E+01    0.47604E+07    0.93343E+04
    74    0.19350E+04    0.36164E+00   -0.78007E+01    0.47313E+07    0.91825E+04
    75    0.19606E+04    0.37471E+00   -0.82843E+01    0.47022E+07    0.90344E+04
    76    0.19863E+04    0.38797E+00   -0.87786E+01    0.46730E+07    0.88899E+04
    77    0.20123E+04    0.40143E+00   -0.92832E+01    0.46439E+07    0.87490E+04
    78    0.20386E+04    0.41508E+00   -0.97995E+01    0.46147E+07    0.86115E+04
    79    0.20650E+04    0.42888E+00   -0.10323E+02    0.45856E+07    0.84774E+04
    80    0.20918E+04    0.44281E+00   -0.10856E+02    0.45564E+07    0.83466E+04
    81    0.21187E+04    0.45681E+00   -0.11397E+02    0.45274E+07    0.82190E+04
    82    0.21460E+04    0.47091E+00   -0.11947E+02    0.44983E+07    0.80947E+04
    83    0.21734E+04    0.48509E+00   -0.12506E+02    0.44694E+07    0.79734E+04
    84    0.22012E+04    0.49934E+00   -0.13072E+02    0.44405E+07    0.78551E+04
    85    0.22291E+04    0.51364E+00   -0.13645E+02    0.44117E+07    0.77396E+04
    86    0.22571E+04    0.52801E+00   -0.14226E+02    0.43830E+07    0.76269E+04
    87    0.22857E+04    0.54241E+00   -0.14814E+02    0.43544E+07    0.75168E+04
    88    0.23142E+04    0.55686E+00   -0.15407E+02    0.43258E+07    0.74093E+04
    89    0.23431E+04    0.57134E+00   -0.16008E+02    0.42974E+07    0.73041E+04
    90    0.23721E+04    0.58581E+00   -0.16612E+02    0.42691E+07    0.72013E+04
    91    0.24014E+04    0.60027E+00   -0.17222E+02    0.42409E+07    0.71008E+04
    92    0.24309E+04    0.61471E+00   -0.17836E+02    0.42129E+07    0.70024E+04
    93    0.24607E+04    0.62911E+00   -0.18454E+02    0.41850E+07    0.69061E+04
    94    0.24906E+04    0.64344E+00   -0.19075E+02    0.41572E+07    0.68120E+04
    95    0.25207E+04    0.65770E+00   -0.19700E+02    0.41296E+07    0.67198E+04
    96    0.25508E+04    0.67189E+00   -0.20328E+02    0.41021E+07    0.66295E+04
    97    0.25814E+04    0.68598E+00   -0.20957E+02    0.40748E+07    0.65412E+04
    98    0.26122E+04    0.69997E+00   -0.21587E+02    0.40476E+07    0.64546E+04
    99    0.26430E+04    0.71382E+00   -0.22220E+02    0.40206E+07    0.63699E+04
   100    0.26741E+04    0.72753E+00   -0.22851E+02    0.39937E+07    0.62869E+04
   101    0.27053E+04    0.74117E+00   -0.23484E+02    0.39670E+07    0.62055E+04
   102    0.27371E+04    0.75459E+00   -0.24116E+02    0.39405E+07    0.61259E+04
   103    0.27687E+04    0.76785E+00   -0.24749E+02    0.39142E+07    0.60478E+04
   104    0.28006E+04    0.78097E+00   -0.25378E+02    0.38880E+07    0.59713E+04
   105    0.28325E+04    0.79386E+00   -0.26007E+02    0.38619E+07    0.58964E+04
   106    0.28647E+04    0.80660E+00   -0.26633E+02    0.38361E+07    0.58229E+04
   107    0.28968E+04    0.81904E+00   -0.27256E+02    0.38104E+07    0.57509E+04
   108    0.29293E+04    0.83127E+00   -0.27876E+02    0.37849E+07    0.56804E+04
   109    0.29619E+04    0.84319E+00   -0.28492E+02    0.37596E+07    0.56112E+04
   110    0.29946E+04    0.85482E+00   -0.29102E+02    0.37345E+07    0.55433E+04
   111    0.30274E+04    0.86623E+00   -0.29708E+02    0.37095E+07    0.54768E+04
   112    0.30603E+04    0.87735E+00   -0.30310E+02    0.36847E+07    0.54115E+04
   113    0.30935E+04    0.88817E+00   -0.30905E+02    0.36601E+07    0.53474E+04
   114    0.31267E+04    0.89863E+00   -0.31493E+02    0.36357E+07    0.52845E+04
   115    0.31601E+04    0.90886E+00   -0.32074E+02    0.36115E+07    0.52227E+04
   116    0.31936E+04    0.91865E+00   -0.32647E+02    0.35874E+07    0.51621E+04
   117    0.32273E+04    0.92808E+00   -0.33212E+02    0.35636E+07    0.51025E+04
   118    0.32611E+04    0.93729E+00   -0.33769E+02    0.35399E+07    0.50441E+04
   119    0.32950E+04    0.94614E+00   -0.34317E+02    0.35164E+07    0.49866E+04
   120    0.33289E+04    0.95448E+00   -0.34854E+02    0.34932E+07    0.49302E+04
   121    0.33629E+04    0.96260E+00   -0.35381E+02    0.34700E+07    0.48748E+04
   122    0.33969E+04    0.97022E+00   -0.35897E+02    0.34471E+07    0.48203E+04
   123    0.34310E+04    0.97740E+00   -0.36402E+02    0.34244E+07    0.47668E+04
   124    0.34652E+04    0.98422E+00   -0.36893E+02    0.34018E+07    0.47142E+04
   125    0.34993E+04    0.99061E+00   -0.37373E+02    0.33795E+07    0.46626E+04
   126    0.35335E+04    0.99665E+00   -0.37841E+02    0.33573E+07    0.46118E+04
   127    0.35677E+04    0.10022E+01   -0.38295E+02    0.33353E+07    0.45618E+04
   128    0.36019E+04    0.10073E+01   -0.38735E+02    0.33134E+07    0.45127E+04
   129    0.36361E+04    0.10120E+01   -0.39161E+02    0.32918E+07    0.44644E+04
   130    0.36703E+04    0.10162E+01   -0.39571E+02    0.32703E+07    0.44169E+04
   131    0.37045E+04    0.10200E+01   -0.39967E+02    0.32491E+07    0.43701E+04
   132    0.37388E+04    0.10233E+01   -0.40346E+02    0.32280E+07    0.43241E+04
   133    0.37730E+04    0.10262E+01   -0.40710E+02    0.32070E+07    0.42788E+04
   134    0.38071E+04    0.10287E+01   -0.41056E+02    0.31863E+07    0.42342E+04
   135    0.38413E+04    0.10307E+01   -0.41385E+02    0.31657E+07    0.41903E+04
   136    0.38753E+04    0.10321E+01   -0.41694E+02    0.31453E+07    0.41470E+04
   137    0.39092E+04    0.10332E+01   -0.41986E+02    0.31251E+07    0.41045E+04
   138    0.39431E+04    0.10337E+01   -0.42259E+02    0.31051E+07    0.40626E+04
   139    0.39768E+04    0.10340E+01   -0.42513E+02    0.30852E+07    0.40213E+04
   140    0.40106E+04    0.10336E+01   -0.42748E+02    0.30655E+07    0.39806E+04
   141    0.40441E+04    0.10327E+01   -0.42961E+02    0.30460E+07    0.39406E+04
   142    0.40776E+04    0.10314E+01   -0.43155E+02    0.30267E+07    0.39011E+04
   143    0.41110E+04    0.10297E+01   -0.43328E+02    0.30075E+07    0.38623E+04
   144    0.41443E+04    0.10276E+01   -0.43481E+02    0.29885E+07    0.38240E+04
   145    0.41773E+04    0.10250E+01   -0.43612E+02    0.29696E+07    0.37862E+04
   146    0.42105E+04    0.10219E+01   -0.43722E+02    0.29510E+07    0.37490E+04
   147    0.42433E+04    0.10185E+01   -0.43809E+02    0.29325E+07    0.37123E+04
   148    0.42759E+04    0.10145E+01   -0.43875E+02    0.29141E+07    0.36761E+04
   149    0.43085E+04    0.10101E+01   -0.43917E+02    0.28959E+07    0.36404E+04
   150    0.43408E+04    0.10054E+01   -0.43935E+02    0.28779E+07    0.36052E+04
   151    0.43730E+04    0.10003E+01   -0.43931E+02    0.28600E+07    0.35705E+04
   152    0.44048E+04    0.99471E+00   -0.43903E+02    0.28423E+07    0.35363E+04
   153    0.44365E+04    0.98876E+00   -0.43850E+02    0.28248E+07    0.35025E+04
   154    0.44680E+04    0.98248E+00   -0.43773E+02    0.28074E+07    0.34691E+04
   155    0.44993E+04    0.97585E+00   -0.43671E+02    0.27902E+07    0.34362E+04
   156    0.45301E+04    0.96889E+00   -0.43545E+02    0.27731E+07    0.34038E+04
   157    0.45609E+04    0.96160E+00   -0.43394E+02    0.27561E+07    0.33717E+04
   158    0.45914E+04    0.95404E+00   -0.43217E+02    0.27394E+07    0.33401E+04
   159    0.46215E+04    0.94608E+00   -0.43015E+02    0.27227E+07    0.33089E+04
   160    0.46514E+04    0.93786E+00   -0.42786E+02    0.27063E+07    0.32781E+04
   161    0.46811E+04    0.92946E+00   -0.42532E+02    0.26899E+07    0.32477E+04
   162    0.47104E+04    0.92072E+00   -0.42252E+02    0.26737E+07    0.32177E+04
   163    0.47396E+04    0.91174E+00   -0.41946E+02    0.26577E+07    0.31881E+04
   164    0.47683E+04    0.90257E+00   -0.41615E+02    0.26418E+07    0.31589E+04
   165    0.47968E+04    0.89315E+00   -0.41256E+02    0.26261E+07    0.31300E+04
   166    0.48249E+04    0.88363E+00   -0.40871E+02    0.26105E+07    0.31014E+04
   167    0.48528E+04    0.87378E+00   -0.40461E+02    0.25950E+07    0.30732E+04
   168    0.48803E+04    0.86398E+00   -0.40023E+02    0.25797E+07    0.30454E+04
   169    0.49073E+04    0.85393E+00   -0.39558E+02    0.25645E+07    0.30179E+04
   170    0.49341E+04    0.84385E+00   -0.39067E+02    0.25494E+07    0.29907E+04
   171    0.49604E+04    0.83373E+00   -0.38548E+02    0.25345E+07    0.29638E+04
   172    0.49863E+04    0.82352E+00   -0.38002E+02    0.25197E+07    0.29373E+04
   173    0.50117E+04    0.81320E+00   -0.37429E+02    0.25050E+07    0.29111E+04
   174    0.50368E+04    0.80308E+00   -0.36830E+02    0.24905E+07    0.28852E+04
   175    0.50614E+04    0.79285E+00   -0.36203E+02    0.24761E+07    0.28595E+04
   176    0.50856E+04    0.78275E+00   -0.35549E+02    0.24618E+07    0.28342E+04
   177    0.51093E+04    0.77269E+00   -0.34869E+02    0.24477E+07    0.28092E+04
   178    0.51326E+04    0.76289E+00   -0.34162E+02    0.24337E+07    0.27844E+04
   179    0.51554E+04    0.75307E+00   -0.33428E+02    0.24198E+07    0.27599E+04
