#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.12053E+04    0.32990E+01    0.15326E-02    0.32990E+01    0.56426E-01   -0.66999E-05    0.15326E-02   -0.66999E-05    0.77056E-08
     3    0.11055E+04    0.41450E+01    0.10695E-02    0.41450E+01    0.88477E-01   -0.56844E-05    0.10695E-02   -0.56844E-05    0.46863E-08
     4    0.10188E+04    0.42370E+01    0.80340E-03    0.42370E+01    0.95068E-01   -0.43145E-05    0.80340E-03   -0.43145E-05    0.32409E-08
     5    0.95322E+03    0.38900E+01    0.63117E-03    0.38900E+01    0.80275E-01   -0.29907E-05    0.63117E-03   -0.29907E-05    0.24084E-08
     6    0.90578E+03    0.33463E+01    0.51130E-03    0.33463E+01    0.56285E-01   -0.18526E-05    0.51130E-03   -0.18526E-05    0.18741E-08
     7    0.87247E+03    0.27577E+01    0.42366E-03    0.27577E+01    0.34106E-01   -0.95678E-06    0.42366E-03   -0.95678E-06    0.15068E-08
     8    0.84948E+03    0.22112E+01    0.35728E-03    0.22112E+01    0.19191E-01   -0.31361E-06    0.35728E-03   -0.31361E-06    0.12415E-08
     9    0.83450E+03    0.17545E+01    0.30564E-03    0.17545E+01    0.11664E-01    0.95326E-07    0.30564E-03    0.95326E-07    0.10425E-08
    10    0.82565E+03    0.14110E+01    0.26460E-03    0.14110E+01    0.88847E-02    0.30707E-06    0.26460E-03    0.30707E-06    0.88872E-09
    11    0.82135E+03    0.11828E+01    0.23153E-03    0.11828E+01    0.79910E-02    0.36910E-06    0.23153E-03    0.36910E-06    0.76730E-09
    12    0.82100E+03    0.10581E+01    0.20436E-03    0.10581E+01    0.72944E-02    0.33065E-06    0.20436E-03    0.33065E-06    0.66923E-09
    13    0.82315E+03    0.10150E+01    0.18192E-03    0.10150E+01    0.63732E-02    0.23673E-06    0.18192E-03    0.23673E-06    0.58903E-09
    14    0.82741E+03    0.10285E+01    0.16301E-03    0.10285E+01    0.54828E-02    0.12377E-06    0.16301E-03    0.12377E-06    0.52232E-09
    15    0.83334E+03    0.10758E+01    0.14696E-03    0.10758E+01    0.49394E-02    0.18164E-07    0.14696E-03    0.18164E-07    0.46633E-09
    16    0.84100E+03    0.11383E+01    0.13313E-03    0.11383E+01    0.48223E-02   -0.63831E-07    0.13313E-03   -0.63831E-07    0.41880E-09
    17    0.84975E+03    0.12023E+01    0.12113E-03    0.12023E+01    0.49974E-02   -0.11524E-06    0.12113E-03   -0.11524E-06    0.37800E-09
    18    0.85918E+03    0.12592E+01    0.11064E-03    0.12592E+01    0.52850E-02   -0.13670E-06    0.11064E-03   -0.13670E-06    0.34281E-09
    19    0.87027E+03    0.13083E+01    0.10143E-03    0.13083E+01    0.56009E-02   -0.13386E-06    0.10143E-03   -0.13386E-06    0.31219E-09
    20    0.88184E+03    0.13492E+01    0.93255E-04    0.13492E+01    0.59668E-02   -0.11462E-06    0.93255E-04   -0.11462E-06    0.28537E-09
    21    0.89402E+03    0.13849E+01    0.85977E-04    0.13849E+01    0.64705E-02   -0.87197E-07    0.85977E-04   -0.87197E-07    0.26174E-09
    22    0.90673E+03    0.14186E+01    0.79480E-04    0.14186E+01    0.71923E-02   -0.58998E-07    0.79480E-04   -0.58998E-07    0.24083E-09
    23    0.91992E+03    0.14537E+01    0.73666E-04    0.14537E+01    0.81683E-02   -0.35649E-07    0.73666E-04   -0.35649E-07    0.22224E-09
    24    0.93360E+03    0.14919E+01    0.68458E-04    0.14919E+01    0.93893E-02   -0.20249E-07    0.68458E-04   -0.20249E-07    0.20561E-09
    25    0.94768E+03    0.15349E+01    0.63767E-04    0.15349E+01    0.10828E-01   -0.13342E-07    0.63767E-04   -0.13342E-07    0.19070E-09
    26    0.96213E+03    0.15823E+01    0.59517E-04    0.15823E+01    0.12456E-01   -0.13693E-07    0.59517E-04   -0.13693E-07    0.17727E-09
    27    0.97694E+03    0.16311E+01    0.55665E-04    0.16311E+01    0.14261E-01   -0.19302E-07    0.55665E-04   -0.19302E-07    0.16514E-09
    28    0.99201E+03    0.16775E+01    0.52172E-04    0.16775E+01    0.16239E-01   -0.27865E-07    0.52172E-04   -0.27865E-07    0.15414E-09
