#    L    TT             EE             BB             TE          
     2    0.10042E+04    0.33040E-05    0.20929E-05    0.26755E-01
     3    0.96631E+03    0.99129E-05    0.41863E-05    0.60823E-01
     4    0.93102E+03    0.23477E-04    0.69784E-05    0.10391E+00
     5    0.90602E+03    0.47697E-04    0.10470E-04    0.15517E+00
     6    0.89011E+03    0.86962E-04    0.14662E-04    0.21393E+00
     7    0.88113E+03    0.14629E-03    0.19555E-04    0.27949E+00
     8    0.87693E+03    0.23125E-03    0.25150E-04    0.35101E+00
     9    0.87660E+03    0.34803E-03    0.31450E-04    0.42792E+00
    10    0.87922E+03    0.50301E-03    0.38455E-04    0.50936E+00
    11    0.88408E+03    0.70353E-03    0.46167E-04    0.59474E+00
    12    0.89131E+03    0.95686E-03    0.54587E-04    0.68387E+00
    13    0.89982E+03    0.12707E-02    0.63718E-04    0.77513E+00
    14    0.90952E+03    0.16527E-02    0.73561E-04    0.86809E+00
    15    0.92017E+03    0.21118E-02    0.84118E-04    0.96197E+00
    16    0.93208E+03    0.26570E-02    0.95390E-04    0.10571E+01
    17    0.94471E+03    0.32974E-02    0.10738E-03    0.11519E+01
    18    0.95765E+03    0.40400E-02    0.12009E-03    0.12454E+01
    19    0.97211E+03    0.48986E-02    0.13352E-03    0.13383E+01
    20    0.98682E+03    0.58777E-02    0.14767E-03    0.14292E+01
    21    0.10020E+04    0.69882E-02    0.16255E-03    0.15172E+01
    22    0.10176E+04    0.82399E-02    0.17816E-03    0.16019E+01
    23    0.10335E+04    0.96426E-02    0.19449E-03    0.16828E+01
    24    0.10499E+04    0.11205E-01    0.21155E-03    0.17585E+01
    25    0.10666E+04    0.12937E-01    0.22934E-03    0.18292E+01
    26    0.10837E+04    0.14847E-01    0.24787E-03    0.18949E+01
    27    0.11011E+04    0.16947E-01    0.26712E-03    0.19545E+01
    28    0.11187E+04    0.19244E-01    0.28711E-03    0.20069E+01
    29    0.11367E+04    0.21748E-01    0.30784E-03    0.20515E+01
    30    0.11548E+04    0.24467E-01    0.32930E-03    0.20893E+01
    31    0.11732E+04    0.27411E-01    0.35151E-03    0.21189E+01
    32    0.11919E+04    0.30588E-01    0.37445E-03    0.21397E+01
    33    0.12108E+04    0.34008E-01    0.39813E-03    0.21503E+01
    34    0.12299E+04    0.37675E-01    0.42255E-03    0.21520E+01
    35    0.12493E+04    0.41599E-01    0.44771E-03    0.21442E+01
    36    0.12687E+04    0.45790E-01    0.47361E-03    0.21256E+01
    37    0.12885E+04    0.50253E-01    0.50026E-03    0.20956E+01
    38    0.13084E+04    0.54996E-01    0.52765E-03    0.20548E+01
    39    0.13286E+04    0.60022E-01    0.55578E-03    0.20026E+01
    40    0.13489E+04    0.65338E-01    0.58465E-03    0.19380E+01
    41    0.13695E+04    0.70953E-01    0.61427E-03    0.18603E+01
    42    0.13902E+04    0.76874E-01    0.64463E-03    0.17704E+01
    43    0.14111E+04    0.83103E-01    0.67574E-03    0.16689E+01
    44    0.14321E+04    0.89639E-01    0.70759E-03    0.15541E+01
    45    0.14534E+04    0.96491E-01    0.74018E-03    0.14246E+01
    46    0.14749E+04    0.10367E+00    0.77351E-03    0.12813E+01
    47    0.14966E+04    0.11117E+00    0.80758E-03    0.11255E+01
    48    0.15183E+04    0.11900E+00    0.84240E-03    0.95566E+00
    49    0.15404E+04    0.12715E+00    0.87796E-03    0.77030E+00
    50    0.15627E+04    0.13564E+00    0.91425E-03    0.57044E+00
    51    0.15851E+04    0.14447E+00    0.95129E-03    0.35728E+00
    52    0.16078E+04    0.15361E+00    0.98907E-03    0.12946E+00
    53    0.16308E+04    0.16310E+00    0.10276E-02   -0.11450E+00
    54    0.16538E+04    0.17291E+00    0.10668E-02   -0.37338E+00
    55    0.16770E+04    0.18305E+00    0.11068E-02   -0.64599E+00
    56    0.17005E+04    0.19353E+00    0.11476E-02   -0.93352E+00
    57    0.17243E+04    0.20434E+00    0.11890E-02   -0.12373E+01
    58    0.17483E+04    0.21548E+00    0.12312E-02   -0.15564E+01
    59    0.17725E+04    0.22695E+00    0.12742E-02   -0.18896E+01
    60    0.17968E+04    0.23871E+00    0.13179E-02   -0.22360E+01
    61    0.18216E+04    0.25077E+00    0.13623E-02   -0.25952E+01
    62    0.18465E+04    0.26314E+00    0.14074E-02   -0.29685E+01
    63    0.18715E+04    0.27580E+00    0.14533E-02   -0.33576E+01
    64    0.18970E+04    0.28879E+00    0.14999E-02   -0.37641E+01
    65    0.19225E+04    0.30214E+00    0.15473E-02   -0.41894E+01
    66    0.19483E+04    0.31579E+00    0.15954E-02   -0.46319E+01
    67    0.19742E+04    0.32972E+00    0.16442E-02   -0.50894E+01
    68    0.20006E+04    0.34396E+00    0.16938E-02   -0.55603E+01
    69    0.20271E+04    0.35844E+00    0.17441E-02   -0.60416E+01
    70    0.20540E+04    0.37316E+00    0.17951E-02   -0.65338E+01
    71    0.20812E+04    0.38810E+00    0.18469E-02   -0.70381E+01
    72    0.21085E+04    0.40324E+00    0.18994E-02   -0.75558E+01
    73    0.21361E+04    0.41857E+00    0.19526E-02   -0.80875E+01
    74    0.21639E+04    0.43408E+00    0.20066E-02   -0.86325E+01
    75    0.21919E+04    0.44982E+00    0.20613E-02   -0.91896E+01
    76    0.22202E+04    0.46579E+00    0.21168E-02   -0.97589E+01
    77    0.22487E+04    0.48197E+00    0.21730E-02   -0.10340E+02
    78    0.22776E+04    0.49839E+00    0.22299E-02   -0.10935E+02
    79    0.23067E+04    0.51497E+00    0.22876E-02   -0.11539E+02
    80    0.23361E+04    0.53171E+00    0.23460E-02   -0.12153E+02
    81    0.23658E+04    0.54854E+00    0.24052E-02   -0.12778E+02
    82    0.23958E+04    0.56549E+00    0.24651E-02   -0.13413E+02
    83    0.24260E+04    0.58254E+00    0.25258E-02   -0.14059E+02
    84    0.24566E+04    0.59968E+00    0.25872E-02   -0.14713E+02
    85    0.24873E+04    0.61688E+00    0.26494E-02   -0.15377E+02
