#    L    TT             EE             TE             PP             TP          
     2    0.10042E+04    0.12112E-05    0.26755E-01    0.10130E+07    0.27966E+05
     3    0.96631E+03    0.57266E-05    0.60823E-01    0.15599E+07    0.33079E+05
     4    0.93101E+03    0.16498E-04    0.10391E+00    0.20468E+07    0.35436E+05
     5    0.90600E+03    0.37227E-04    0.15517E+00    0.24773E+07    0.36366E+05
     6    0.89008E+03    0.72300E-04    0.21393E+00    0.28577E+07    0.36517E+05
     7    0.88109E+03    0.12674E-03    0.27949E+00    0.31953E+07    0.36224E+05
     8    0.87688E+03    0.20610E-03    0.35102E+00    0.34962E+07    0.35670E+05
     9    0.87654E+03    0.31658E-03    0.42793E+00    0.37656E+07    0.34958E+05
    10    0.87915E+03    0.46456E-03    0.50937E+00    0.40071E+07    0.34153E+05
    11    0.88400E+03    0.65736E-03    0.59476E+00    0.42251E+07    0.33315E+05
    12    0.89121E+03    0.90227E-03    0.68390E+00    0.44206E+07    0.32446E+05
    13    0.89972E+03    0.12070E-02    0.77516E+00    0.45982E+07    0.31600E+05
    14    0.90940E+03    0.15792E-02    0.86813E+00    0.47579E+07    0.30752E+05
    15    0.92003E+03    0.20277E-02    0.96203E+00    0.49032E+07    0.29927E+05
    16    0.93193E+03    0.25616E-02    0.10572E+01    0.50349E+07    0.29113E+05
    17    0.94454E+03    0.31900E-02    0.11520E+01    0.51533E+07    0.28325E+05
    18    0.95746E+03    0.39199E-02    0.12455E+01    0.52612E+07    0.27564E+05
    19    0.97190E+03    0.47651E-02    0.13384E+01    0.53590E+07    0.26837E+05
    20    0.98659E+03    0.57300E-02    0.14293E+01    0.54469E+07    0.26126E+05
    21    0.10017E+04    0.68256E-02    0.15173E+01    0.55263E+07    0.25444E+05
    22    0.10173E+04    0.80617E-02    0.16021E+01    0.55982E+07    0.24787E+05
    23    0.10332E+04    0.94481E-02    0.16831E+01    0.56629E+07    0.24154E+05
    24    0.10496E+04    0.10993E-01    0.17588E+01    0.57205E+07    0.23550E+05
    25    0.10663E+04    0.12707E-01    0.18296E+01    0.57723E+07    0.22968E+05
    26    0.10833E+04    0.14600E-01    0.18953E+01    0.58185E+07    0.22405E+05
    27    0.11007E+04    0.16680E-01    0.19550E+01    0.58592E+07    0.21862E+05
    28    0.11182E+04    0.18958E-01    0.20074E+01    0.58953E+07    0.21342E+05
    29    0.11362E+04    0.21441E-01    0.20521E+01    0.59267E+07    0.20845E+05
    30    0.11544E+04    0.24139E-01    0.20899E+01    0.59541E+07    0.20362E+05
    31    0.11727E+04    0.27060E-01    0.21197E+01    0.59772E+07    0.19894E+05
    32    0.11914E+04    0.30215E-01    0.21405E+01    0.59969E+07    0.19446E+05
    33    0.12102E+04    0.33611E-01    0.21512E+01    0.60133E+07    0.19017E+05
    34    0.12293E+04    0.37253E-01    0.21530E+01    0.60265E+07    0.18601E+05
    35    0.12486E+04    0.41153E-01    0.21452E+01    0.60366E+07    0.18198E+05
    36    0.12681E+04    0.45318E-01    0.21268E+01    0.60442E+07    0.17810E+05
    37    0.12878E+04    0.49755E-01    0.20969E+01    0.60492E+07    0.17436E+05
    38    0.13077E+04    0.54471E-01    0.20562E+01    0.60517E+07    0.17075E+05
    39    0.13279E+04    0.59470E-01    0.20041E+01    0.60520E+07    0.16725E+05
    40    0.13481E+04    0.64757E-01    0.19396E+01    0.60502E+07    0.16388E+05
    41    0.13687E+04    0.70344E-01    0.18620E+01    0.60465E+07    0.16064E+05
    42    0.13893E+04    0.76235E-01    0.17722E+01    0.60410E+07    0.15750E+05
