#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10042E+04    0.26755E-01    0.12248E-02    0.26755E-01    0.12112E-05   -0.17063E-07    0.12248E-02   -0.17063E-07    0.81393E-08
     3    0.96631E+03    0.60823E-01    0.85851E-03    0.60823E-01    0.57266E-05   -0.20499E-07    0.85851E-03   -0.20499E-07    0.49512E-08
     4    0.93101E+03    0.10391E+00    0.64664E-03    0.10391E+00    0.16498E-04   -0.22298E-07    0.64664E-03   -0.22298E-07    0.34260E-08
     5    0.90600E+03    0.15517E+00    0.50966E-03    0.15517E+00    0.37227E-04   -0.23429E-07    0.50966E-03   -0.23429E-07    0.25477E-08
     6    0.89008E+03    0.21393E+00    0.41464E-03    0.21393E+00    0.72300E-04   -0.24165E-07    0.41464E-03   -0.24165E-07    0.19842E-08
     7    0.88109E+03    0.27949E+00    0.34536E-03    0.27949E+00    0.12674E-03   -0.24670E-07    0.34536E-03   -0.24670E-07    0.15967E-08
     8    0.87688E+03    0.35102E+00    0.29291E-03    0.35102E+00    0.20610E-03   -0.25056E-07    0.29291E-03   -0.25056E-07    0.13167E-08
     9    0.87654E+03    0.42793E+00    0.25202E-03    0.42793E+00    0.31658E-03   -0.25380E-07    0.25202E-03   -0.25380E-07    0.11067E-08
    10    0.87915E+03    0.50937E+00    0.21938E-03    0.50937E+00    0.46456E-03   -0.25618E-07    0.21938E-03   -0.25618E-07    0.94438E-09
    11    0.88400E+03    0.59476E+00    0.19293E-03    0.59476E+00    0.65736E-03   -0.25782E-07    0.19293E-03   -0.25782E-07    0.81615E-09
    12    0.89121E+03    0.68390E+00    0.17105E-03    0.68390E+00    0.90227E-03   -0.25852E-07    0.17105E-03   -0.25852E-07    0.71254E-09
    13    0.89972E+03    0.77516E+00    0.15286E-03    0.77516E+00    0.12070E-02   -0.25896E-07    0.15286E-03   -0.25896E-07    0.62778E-09
    14    0.90940E+03    0.86813E+00    0.13743E-03    0.86813E+00    0.15792E-02   -0.25913E-07    0.13743E-03   -0.25913E-07    0.55725E-09
    15    0.92003E+03    0.96203E+00    0.12427E-03    0.96203E+00    0.20277E-02   -0.25936E-07    0.12427E-03   -0.25936E-07    0.49803E-09
    16    0.93193E+03    0.10572E+01    0.11289E-03    0.10572E+01    0.25616E-02   -0.25947E-07    0.11289E-03   -0.25947E-07    0.44772E-09
    17    0.94454E+03    0.11520E+01    0.10302E-03    0.11520E+01    0.31900E-02   -0.25939E-07    0.10302E-03   -0.25939E-07    0.40452E-09
    18    0.95746E+03    0.12455E+01    0.94389E-04    0.12455E+01    0.39199E-02   -0.25910E-07    0.94389E-04   -0.25910E-07    0.36724E-09
    19    0.97190E+03    0.13384E+01    0.86823E-04    0.13384E+01    0.47651E-02   -0.25880E-07    0.86823E-04   -0.25880E-07    0.33480E-09
    20    0.98659E+03    0.14293E+01    0.80096E-04    0.14293E+01    0.57300E-02   -0.25821E-07    0.80096E-04   -0.25821E-07    0.30634E-09
    21    0.10017E+04    0.15173E+01    0.74120E-04    0.15173E+01    0.68256E-02   -0.25750E-07    0.74120E-04   -0.25750E-07    0.28127E-09
    22    0.10173E+04    0.16021E+01    0.68783E-04    0.16021E+01    0.80617E-02   -0.25675E-07    0.68783E-04   -0.25675E-07    0.25908E-09
    23    0.10332E+04    0.16831E+01    0.63992E-04    0.16831E+01    0.94481E-02   -0.25597E-07    0.63992E-04   -0.25597E-07    0.23933E-09
    24    0.10496E+04    0.17588E+01    0.59686E-04    0.17588E+01    0.10993E-01   -0.25504E-07    0.59686E-04   -0.25504E-07    0.22165E-09
    25    0.10663E+04    0.18296E+01    0.55794E-04    0.18296E+01    0.12707E-01   -0.25408E-07    0.55794E-04   -0.25408E-07    0.20579E-09
    26    0.10833E+04    0.18953E+01    0.52255E-04    0.18953E+01    0.14600E-01   -0.25305E-07    0.52255E-04   -0.25305E-07    0.19151E-09
    27    0.11007E+04    0.19550E+01    0.49034E-04    0.19550E+01    0.16680E-01   -0.25200E-07    0.49034E-04   -0.25200E-07    0.17858E-09
    28    0.11182E+04    0.20074E+01    0.46099E-04    0.20074E+01    0.18958E-01   -0.25091E-07    0.46099E-04   -0.25091E-07    0.16686E-09
    29    0.11362E+04    0.20521E+01    0.43420E-04    0.20521E+01    0.21441E-01   -0.24976E-07    0.43420E-04   -0.24976E-07    0.15619E-09
    30    0.11544E+04    0.20899E+01    0.40955E-04    0.20899E+01    0.24139E-01   -0.24857E-07    0.40955E-04   -0.24857E-07    0.14647E-09
    31    0.11727E+04    0.21197E+01    0.38684E-04    0.21197E+01    0.27060E-01   -0.24734E-07    0.38684E-04   -0.24734E-07    0.13756E-09
    32    0.11914E+04    0.21405E+01    0.36594E-04    0.21405E+01    0.30215E-01   -0.24612E-07    0.36594E-04   -0.24612E-07    0.12940E-09
    33    0.12102E+04    0.21512E+01    0.34671E-04    0.21512E+01    0.33611E-01   -0.24489E-07    0.34671E-04   -0.24489E-07    0.12189E-09
    34    0.12293E+04    0.21530E+01    0.32887E-04    0.21530E+01    0.37253E-01   -0.24357E-07    0.32887E-04   -0.24357E-07    0.11498E-09
    35    0.12486E+04    0.21452E+01    0.31230E-04    0.21452E+01    0.41153E-01   -0.24224E-07    0.31230E-04   -0.24224E-07    0.10860E-09
    36    0.12681E+04    0.21268E+01    0.29691E-04    0.21268E+01    0.45318E-01   -0.24092E-07    0.29691E-04   -0.24092E-07    0.10270E-09
    37    0.12878E+04    0.20969E+01    0.28263E-04    0.20969E+01    0.49755E-01   -0.23960E-07    0.28263E-04   -0.23960E-07    0.97230E-10
    38    0.13077E+04    0.20562E+01    0.26930E-04    0.20562E+01    0.54471E-01   -0.23824E-07    0.26930E-04   -0.23824E-07    0.92154E-10
    39    0.13279E+04    0.20041E+01    0.25685E-04    0.20041E+01    0.59470E-01   -0.23685E-07    0.25685E-04   -0.23685E-07    0.87435E-10
    40    0.13481E+04    0.19396E+01    0.24523E-04    0.19396E+01    0.64757E-01   -0.23545E-07    0.24523E-04   -0.23545E-07    0.83042E-10
    41    0.13687E+04    0.18620E+01    0.23438E-04    0.18620E+01    0.70344E-01   -0.23407E-07    0.23438E-04   -0.23407E-07    0.78946E-10
    42    0.13893E+04    0.17722E+01    0.22419E-04    0.17722E+01    0.76235E-01   -0.23267E-07    0.22419E-04   -0.23267E-07    0.75120E-10
    43    0.14102E+04    0.16709E+01    0.21460E-04    0.16709E+01    0.82434E-01   -0.23125E-07    0.21460E-04   -0.23125E-07    0.71542E-10
    44    0.14312E+04    0.15562E+01    0.20559E-04    0.15562E+01    0.88939E-01   -0.22981E-07    0.20559E-04   -0.22981E-07    0.68192E-10
    45    0.14524E+04    0.14267E+01    0.19714E-04    0.14267E+01    0.95760E-01   -0.22839E-07    0.19714E-04   -0.22839E-07    0.65050E-10
    46    0.14739E+04    0.12836E+01    0.18919E-04    0.12836E+01    0.10291E+00   -0.22695E-07    0.18919E-04   -0.22695E-07    0.62101E-10
    47    0.14955E+04    0.11279E+01    0.18167E-04    0.11279E+01    0.11038E+00   -0.22549E-07    0.18167E-04   -0.22549E-07    0.59331E-10
    48    0.15173E+04    0.95818E+00    0.17456E-04    0.95818E+00    0.11817E+00   -0.22402E-07    0.17456E-04   -0.22402E-07    0.56725E-10
    49    0.15393E+04    0.77294E+00    0.16787E-04    0.77294E+00    0.12629E+00   -0.22257E-07    0.16787E-04   -0.22257E-07    0.54270E-10
    50    0.15616E+04    0.57320E+00    0.16154E-04    0.57320E+00    0.13474E+00   -0.22112E-07    0.16154E-04   -0.22112E-07    0.51956E-10
    51    0.15839E+04    0.36015E+00    0.15554E-04    0.36015E+00    0.14354E+00   -0.21965E-07    0.15554E-04   -0.21965E-07    0.49772E-10
