#    L    TT             EE             BB             TE          
     2    0.10053E+04    0.33699E-05    0.21671E-05    0.26662E-01
     3    0.96726E+03    0.10021E-04    0.43348E-05    0.60603E-01
     4    0.93175E+03    0.23608E-04    0.72260E-05    0.10352E+00
     5    0.90655E+03    0.47806E-04    0.10841E-04    0.15459E+00
     6    0.89045E+03    0.86973E-04    0.15182E-04    0.21312E+00
     7    0.88131E+03    0.14610E-03    0.20248E-04    0.27844E+00
     8    0.87696E+03    0.23070E-03    0.26042E-04    0.34971E+00
     9    0.87650E+03    0.34694E-03    0.32565E-04    0.42636E+00
    10    0.87900E+03    0.50114E-03    0.39818E-04    0.50753E+00
    11    0.88375E+03    0.70060E-03    0.47803E-04    0.59265E+00
    12    0.89086E+03    0.95256E-03    0.56522E-04    0.68153E+00
    13    0.89927E+03    0.12647E-02    0.65975E-04    0.77256E+00
    14    0.90886E+03    0.16445E-02    0.76167E-04    0.86531E+00
    15    0.91940E+03    0.21010E-02    0.87097E-04    0.95902E+00
    16    0.93120E+03    0.26430E-02    0.98768E-04    0.10540E+01
    17    0.94371E+03    0.32795E-02    0.11118E-03    0.11487E+01
    18    0.95653E+03    0.40177E-02    0.12434E-03    0.12421E+01
    19    0.97086E+03    0.48712E-02    0.13824E-03    0.13350E+01
    20    0.98544E+03    0.58445E-02    0.15290E-03    0.14259E+01
    21    0.10005E+04    0.69484E-02    0.16830E-03    0.15140E+01
    22    0.10159E+04    0.81926E-02    0.18445E-03    0.15988E+01
    23    0.10317E+04    0.95869E-02    0.20136E-03    0.16800E+01
    24    0.10479E+04    0.11140E-01    0.21902E-03    0.17559E+01
    25    0.10645E+04    0.12861E-01    0.23744E-03    0.18270E+01
    26    0.10814E+04    0.14761E-01    0.25662E-03    0.18931E+01
    27    0.10986E+04    0.16848E-01    0.27655E-03    0.19532E+01
    28    0.11161E+04    0.19132E-01    0.29725E-03    0.20061E+01
    29    0.11339E+04    0.21621E-01    0.31870E-03    0.20514E+01
    30    0.11519E+04    0.24324E-01    0.34092E-03    0.20898E+01
    31    0.11701E+04    0.27250E-01    0.36390E-03    0.21203E+01
    32    0.11886E+04    0.30409E-01    0.38765E-03    0.21420E+01
    33    0.12073E+04    0.33809E-01    0.41216E-03    0.21535E+01
    34    0.12263E+04    0.37455E-01    0.43744E-03    0.21563E+01
    35    0.12454E+04    0.41357E-01    0.46348E-03    0.21496E+01
    36    0.12647E+04    0.45523E-01    0.49029E-03    0.21323E+01
    37    0.12842E+04    0.49961E-01    0.51787E-03    0.21037E+01
    38    0.13040E+04    0.54678E-01    0.54622E-03    0.20643E+01
    39    0.13240E+04    0.59676E-01    0.57534E-03    0.20136E+01
    40    0.13440E+04    0.64962E-01    0.60523E-03    0.19506E+01
    41    0.13644E+04    0.70547E-01    0.63588E-03    0.18746E+01
    42    0.13849E+04    0.76435E-01    0.66731E-03    0.17865E+01
    43    0.14056E+04    0.82630E-01    0.69950E-03    0.16870E+01
    44    0.14264E+04    0.89131E-01    0.73247E-03    0.15742E+01
    45    0.14475E+04    0.95947E-01    0.76620E-03    0.14467E+01
    46    0.14688E+04    0.10309E+00    0.80070E-03    0.13057E+01
