#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.10053E+04    0.12028E-05    0.00000E+00    0.26662E-01    0.49212E-07    0.30145E-02   -0.41650E-07
     3    0.96725E+03    0.56863E-05    0.00000E+00    0.60603E-01    0.59945E-07    0.29933E-02   -0.70757E-07
     4    0.93174E+03    0.16382E-04    0.00000E+00    0.10352E+00    0.69204E-07    0.29146E-02   -0.99357E-07
     5    0.90653E+03    0.36964E-04    0.00000E+00    0.15459E+00    0.77268E-07    0.28164E-02   -0.12786E-06
     6    0.89042E+03    0.71791E-04    0.00000E+00    0.21313E+00    0.84321E-07    0.27132E-02   -0.15602E-06
     7    0.88127E+03    0.12585E-03    0.00000E+00    0.27844E+00    0.90546E-07    0.26109E-02   -0.18393E-06
     8    0.87691E+03    0.20466E-03    0.00000E+00    0.34971E+00    0.96071E-07    0.25118E-02   -0.21181E-06
     9    0.87644E+03    0.31437E-03    0.00000E+00    0.42637E+00    0.10101E-06    0.24166E-02   -0.23986E-06
    10    0.87893E+03    0.46132E-03    0.00000E+00    0.50754E+00    0.10541E-06    0.23256E-02   -0.26767E-06
    11    0.88366E+03    0.65280E-03    0.00000E+00    0.59267E+00    0.10939E-06    0.22401E-02   -0.29509E-06
    12    0.89077E+03    0.89604E-03    0.00000E+00    0.68156E+00    0.11293E-06    0.21585E-02   -0.32167E-06
    13    0.89916E+03    0.11987E-02    0.00000E+00    0.77259E+00    0.11614E-06    0.20829E-02   -0.34803E-06
    14    0.90873E+03    0.15683E-02    0.00000E+00    0.86536E+00    0.11901E-06    0.20106E-02   -0.37410E-06
    15    0.91926E+03    0.20138E-02    0.00000E+00    0.95908E+00    0.12162E-06    0.19426E-02   -0.40028E-06
    16    0.93104E+03    0.25442E-02    0.00000E+00    0.10541E+01    0.12397E-06    0.18776E-02   -0.42632E-06
    17    0.94353E+03    0.31683E-02    0.00000E+00    0.11488E+01    0.12606E-06    0.18161E-02   -0.45204E-06
    18    0.95633E+03    0.38934E-02    0.00000E+00    0.12422E+01    0.12796E-06    0.17579E-02   -0.47738E-06
    19    0.97064E+03    0.47330E-02    0.00000E+00    0.13351E+01    0.12967E-06    0.17032E-02   -0.50263E-06
    20    0.98520E+03    0.56916E-02    0.00000E+00    0.14261E+01    0.13119E-06    0.16505E-02   -0.52723E-06
    21    0.10002E+04    0.67801E-02    0.00000E+00    0.15142E+01    0.13255E-06    0.16006E-02   -0.55145E-06
    22    0.10156E+04    0.80081E-02    0.00000E+00    0.15991E+01    0.13377E-06    0.15531E-02   -0.57543E-06
    23    0.10314E+04    0.93856E-02    0.00000E+00    0.16802E+01    0.13485E-06    0.15078E-02   -0.59920E-06
    24    0.10476E+04    0.10921E-01    0.00000E+00    0.17562E+01    0.13579E-06    0.14649E-02   -0.62246E-06
    25    0.10641E+04    0.12624E-01    0.00000E+00    0.18274E+01    0.13663E-06    0.14240E-02   -0.64546E-06
    26    0.10810E+04    0.14504E-01    0.00000E+00    0.18935E+01    0.13735E-06    0.13847E-02   -0.66809E-06
    27    0.10982E+04    0.16572E-01    0.00000E+00    0.19536E+01    0.13798E-06    0.13470E-02   -0.69044E-06
