#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.10053E+04    0.26662E-01    0.12307E-02    0.26662E-01    0.12028E-05   -0.17003E-07    0.12307E-02   -0.17003E-07    0.82020E-08
     3    0.96725E+03    0.60603E-01    0.86408E-03    0.60603E-01    0.56863E-05   -0.20426E-07    0.86408E-03   -0.20426E-07    0.49954E-08
     4    0.93174E+03    0.10352E+00    0.65172E-03    0.10352E+00    0.16382E-04   -0.22217E-07    0.65172E-03   -0.22217E-07    0.34602E-08
     5    0.90653E+03    0.15459E+00    0.51420E-03    0.15459E+00    0.36964E-04   -0.23343E-07    0.51420E-03   -0.23343E-07    0.25756E-08
     6    0.89042E+03    0.21313E+00    0.41866E-03    0.21313E+00    0.71791E-04   -0.24075E-07    0.41866E-03   -0.24075E-07    0.20076E-08
     7    0.88127E+03    0.27844E+00    0.34890E-03    0.27844E+00    0.12585E-03   -0.24578E-07    0.34890E-03   -0.24578E-07    0.16169E-08
     8    0.87691E+03    0.34971E+00    0.29602E-03    0.34971E+00    0.20466E-03   -0.24962E-07    0.29602E-03   -0.24962E-07    0.13343E-08
     9    0.87644E+03    0.42637E+00    0.25473E-03    0.42637E+00    0.31437E-03   -0.25284E-07    0.25473E-03   -0.25284E-07    0.11223E-08
    10    0.87893E+03    0.50754E+00    0.22174E-03    0.50754E+00    0.46132E-03   -0.25521E-07    0.22174E-03   -0.25521E-07    0.95830E-09
    11    0.88366E+03    0.59267E+00    0.19498E-03    0.59267E+00    0.65280E-03   -0.25685E-07    0.19498E-03   -0.25685E-07    0.82868E-09
    12    0.89077E+03    0.68156E+00    0.17282E-03    0.68156E+00    0.89604E-03   -0.25754E-07    0.17282E-03   -0.25754E-07    0.72390E-09
    13    0.89916E+03    0.77259E+00    0.15439E-03    0.77259E+00    0.11987E-02   -0.25798E-07    0.15439E-03   -0.25798E-07    0.63814E-09
    14    0.90873E+03    0.86536E+00    0.13874E-03    0.86536E+00    0.15683E-02   -0.25815E-07    0.13874E-03   -0.25815E-07    0.56673E-09
    15    0.91926E+03    0.95908E+00    0.12539E-03    0.95908E+00    0.20138E-02   -0.25838E-07    0.12539E-03   -0.25838E-07    0.50675E-09
    16    0.93104E+03    0.10541E+01    0.11385E-03    0.10541E+01    0.25442E-02   -0.25849E-07    0.11385E-03   -0.25849E-07    0.45577E-09
    17    0.94353E+03    0.11488E+01    0.10382E-03    0.11488E+01    0.31683E-02   -0.25842E-07    0.10382E-03   -0.25842E-07    0.41198E-09
    18    0.95633E+03    0.12422E+01    0.95056E-04    0.12422E+01    0.38934E-02   -0.25814E-07    0.95056E-04   -0.25814E-07    0.37417E-09
    19    0.97064E+03    0.13351E+01    0.87370E-04    0.13351E+01    0.47330E-02   -0.25784E-07    0.87370E-04   -0.25784E-07    0.34125E-09
    20    0.98520E+03    0.14261E+01    0.80537E-04    0.14261E+01    0.56916E-02   -0.25726E-07    0.80537E-04   -0.25726E-07    0.31237E-09
    21    0.10002E+04    0.15142E+01    0.74466E-04    0.15142E+01    0.67801E-02   -0.25656E-07    0.74466E-04   -0.25656E-07    0.28691E-09
    22    0.10156E+04    0.15991E+01    0.69044E-04    0.15991E+01    0.80081E-02   -0.25581E-07    0.69044E-04   -0.25581E-07    0.26436E-09
    23    0.10314E+04    0.16802E+01    0.64178E-04    0.16802E+01    0.93856E-02   -0.25504E-07    0.64178E-04   -0.25504E-07    0.24429E-09
    24    0.10476E+04    0.17562E+01    0.59805E-04    0.17562E+01    0.10921E-01   -0.25412E-07    0.59805E-04   -0.25412E-07    0.22632E-09
    25    0.10641E+04    0.18274E+01    0.55853E-04    0.18274E+01    0.12624E-01   -0.25317E-07    0.55853E-04   -0.25317E-07    0.21019E-09
    26    0.10810E+04    0.18935E+01    0.52261E-04    0.18935E+01    0.14504E-01   -0.25215E-07    0.52261E-04   -0.25215E-07    0.19566E-09
    27    0.10982E+04    0.19536E+01    0.48991E-04    0.19536E+01    0.16572E-01   -0.25111E-07    0.48991E-04   -0.25111E-07    0.18251E-09
    28    0.11156E+04    0.20066E+01    0.46014E-04    0.20066E+01    0.18835E-01   -0.25003E-07    0.46014E-04   -0.25003E-07    0.17058E-09
    29    0.11334E+04    0.20519E+01    0.43297E-04    0.20519E+01    0.21302E-01   -0.24890E-07    0.43297E-04   -0.24890E-07    0.15972E-09
    30    0.11514E+04    0.20905E+01    0.40798E-04    0.20905E+01    0.23984E-01   -0.24771E-07    0.40798E-04   -0.24771E-07    0.14981E-09
    31    0.11696E+04    0.21211E+01    0.38497E-04    0.21211E+01    0.26887E-01   -0.24649E-07    0.38497E-04   -0.24649E-07    0.14073E-09
    32    0.11880E+04    0.21428E+01    0.36381E-04    0.21428E+01    0.30022E-01   -0.24528E-07    0.36381E-04   -0.24528E-07    0.13241E-09
    33    0.12067E+04    0.21544E+01    0.34434E-04    0.21544E+01    0.33398E-01   -0.24406E-07    0.34434E-04   -0.24406E-07    0.12477E-09
    34    0.12256E+04    0.21573E+01    0.32628E-04    0.21573E+01    0.37018E-01   -0.24276E-07    0.32628E-04   -0.24276E-07    0.11772E-09
    35    0.12447E+04    0.21507E+01    0.30952E-04    0.21507E+01    0.40895E-01   -0.24144E-07    0.30952E-04   -0.24144E-07    0.11121E-09
    36    0.12640E+04    0.21335E+01    0.29397E-04    0.21335E+01    0.45035E-01   -0.24013E-07    0.29397E-04   -0.24013E-07    0.10519E-09
    37    0.12835E+04    0.21050E+01    0.27955E-04    0.21050E+01    0.49446E-01   -0.23882E-07    0.27955E-04   -0.23882E-07    0.99610E-10
    38    0.13033E+04    0.20657E+01    0.26609E-04    0.20657E+01    0.54135E-01   -0.23747E-07    0.26609E-04   -0.23747E-07    0.94429E-10
    39    0.13232E+04    0.20151E+01    0.25353E-04    0.20151E+01    0.59104E-01   -0.23609E-07    0.25353E-04   -0.23609E-07    0.89611E-10
    40    0.13432E+04    0.19523E+01    0.24182E-04    0.19523E+01    0.64361E-01   -0.23470E-07    0.24182E-04   -0.23470E-07    0.85126E-10
    41    0.13636E+04    0.18763E+01    0.23088E-04    0.18763E+01    0.69916E-01   -0.23333E-07    0.23088E-04   -0.23333E-07    0.80942E-10
    42    0.13840E+04    0.17884E+01    0.22063E-04    0.17884E+01    0.75773E-01   -0.23194E-07    0.22063E-04   -0.23194E-07    0.77033E-10
    43    0.14047E+04    0.16890E+01    0.21098E-04    0.16890E+01    0.81938E-01   -0.23053E-07    0.21098E-04   -0.23053E-07    0.73378E-10
    44    0.14254E+04    0.15763E+01    0.20192E-04    0.15763E+01    0.88407E-01   -0.22911E-07    0.20192E-04   -0.22911E-07    0.69954E-10
    45    0.14465E+04    0.14490E+01    0.19343E-04    0.14490E+01    0.95191E-01   -0.22769E-07    0.19343E-04   -0.22769E-07    0.66742E-10
    46    0.14678E+04    0.13080E+01    0.18545E-04    0.13080E+01    0.10230E+00   -0.22626E-07    0.18545E-04   -0.22626E-07    0.63727E-10
    47    0.14892E+04    0.11547E+01    0.17790E-04    0.11547E+01    0.10973E+00   -0.22481E-07    0.17790E-04   -0.22481E-07    0.60894E-10
